name	gflops_CPU	output_bytes_CPU	output_bytes_GPU	requested_bytes_CPU	requested_bytes_GPU	total_time_CPU	total_time_GPU	ncs2_W
TPR (17 bits, 2 experts)	0.53	99.22	110.91	62.57	68.44	805.39	833.82	0.0005
TPR (48 bits, 2 experts)	1.47	273.12	308.46	172.1	189.61	2819.78	2413.16	0.0015
TPR (104 bits, 2 experts)	1.47	273.12	310.32	172.12	191.16	2704.34	2390.46	0.0015
Binary (6 bits, 2 experts)	0.06	12.17	12.6	7.06	7.26	138.18	204.08	0.0001
Binary (8 bits, 2 experts)	0.27	51.88	57.76	31.84	34.94	385.63	451.76	0.0003
Binary (10 bits, 2 experts)	0.33	63.38	70.61	38.9	42.7	469.09	534.86	0.0003
Binary (16 bits, 2 experts)	0.51	95.48	106.78	60.1	65.96	735.68	784.4	0.0005
Binary (6 bits, 3 experts)	0.28	53.8	59.9	33.05	36.25	391.0	594.82	0.0003
Binary (8 bits, 3 experts)	0.36	67.43	75.47	42.44	46.53	512.09	585.32	0.0004
Binary (8 bits, 512 locations, 3 experts)	1.33	250.71	311.01	159.59	190.44	1503.4	1182.52	0.0013
