	name	device_type	Total exec time (ms)	CPU exec time (ms)	Requested bytes (MB)	Output bytes (MB)	GFLOPs
0	TPR (17 bits, 2 experts)	/cpu:0	4133.324	4133.324	62.29270625	99.219082125	0.532131715
1	TPR (48 bits, 2 experts)	/cpu:0	12958.263	12958.263	171.4629441875	273.118317375	1.465857853
2	TPR (104 bits, 2 experts)	/cpu:0	24074.432	24074.432	171.4721601875	273.118317375	1.465857853
3	Binary (6 bits, 2 experts)	/cpu:0	401.646	401.646	6.97794003125	12.17469971875	0.064951916
4	Binary (8 bits, 2 experts)	/cpu:0	4508.07	4508.07	31.71359934375	51.88469534375	0.274259838
5	Binary (10 bits, 2 experts)	/cpu:0	7062.672	7062.672	38.70165228125	63.38377896875	0.33450024
6	Binary (16 bits, 2 experts)	/cpu:0	10909.069	10909.069	59.926000875	95.478921625	0.512051583
7	Binary (6 bits, 3 experts)	/cpu:0	6056.62	6056.62	32.9415648125	53.80115328125	0.284299905
8	Binary (8 bits, 3 experts)	/cpu:0	6707.907	6707.907	42.3719086875	67.430994	0.361444941
9	Binary (8 bits, 512 locations, 3 experts)	/cpu:0	26204.769	26204.769	159.5687685625	250.70988890625	1.328691353
