	name	device_type	Total exec time (ms)	CPU exec time (ms)	Requested bytes (MB)	Output bytes (MB)	GFLOPs
0	TPR (17 bits, 2 experts)	/gpu:0	833.824	728.134	68.438440625	110.9069735	0.732974859
1	TPR (48 bits, 2 experts)	/gpu:0	2413.165	2144.732	189.6130115	308.461765375	2.019104037
2	TPR (104 bits, 2 experts)	/gpu:0	2390.456	2117.879	191.1550595	310.32017325	2.019104037
3	Binary (6 bits, 2 experts)	/gpu:0	204.081	181.552	7.257940875	12.604484125	0.141352396
4	Binary (8 bits, 2 experts)	/gpu:0	451.763	398.57	34.944999125	57.758631375	0.373395998
5	Binary (10 bits, 2 experts)	/gpu:0	534.856	470.063	42.703801375	70.606490625	0.45637208
6	Binary (16 bits, 2 experts)	/gpu:0	784.398	684.093	65.956519875	106.78476275	0.705316167
7	Binary (6 bits, 3 experts)	/gpu:0	594.82	539.679	36.247234875	59.90341725	0.387225345
8	Binary (8 bits, 3 experts)	/gpu:0	585.319	514.641	46.529042375	75.46967025	0.497870325
9	Binary (8 bits, 512 locations, 3 experts)	/gpu:0	1182.523	1028.327	190.444118875	311.00623225	1.461931033
